signal,w,h_min,band,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_cost_bps,n_syms
qimb,30,1,0.0,0.0209,0.3942,-1.049,-2.1189,2.676,5
qimb,30,1,0.02,0.0372,0.3863,-1.0127,-2.0626,2.676,5
qimb,30,1,0.05,0.0263,0.3435,-0.9076,-1.8416,2.676,5
qimb,30,1,0.1,0.0053,0.2294,-0.6244,-1.2541,2.676,5
qimb,30,1,0.15,0.0003,0.1269,-0.3542,-0.7087,2.676,5
qimb,30,1,0.2,0.0026,0.0596,-0.1678,-0.3383,2.676,5
qimb,30,2,0.0,0.0489,0.3942,-1.021,-2.0909,2.676,5
qimb,30,2,0.02,0.065,0.3863,-0.9849,-2.0348,2.676,5
qimb,30,2,0.05,0.0465,0.3435,-0.8875,-1.8214,2.676,5
qimb,30,2,0.1,-0.0017,0.2294,-0.6314,-1.2612,2.676,5
qimb,30,2,0.15,-0.0009,0.1269,-0.3555,-0.71,2.676,5
qimb,30,2,0.2,0.001,0.0596,-0.1695,-0.3399,2.676,5
qimb,30,5,0.0,0.2248,0.3942,-0.8451,-1.9151,2.676,5
qimb,30,5,0.02,0.2482,0.3863,-0.8017,-1.8515,2.676,5
qimb,30,5,0.05,0.2159,0.3435,-0.7181,-1.652,2.676,5
qimb,30,5,0.1,0.1041,0.2294,-0.5256,-1.1554,2.676,5
qimb,30,5,0.15,0.0613,0.1269,-0.2932,-0.6477,2.676,5
qimb,30,5,0.2,0.0265,0.0596,-0.1439,-0.3144,2.676,5
qimb,60,1,0.0,0.0468,0.2451,-0.6238,-1.2944,2.676,5
qimb,60,1,0.02,0.0573,0.2351,-0.5888,-1.2349,2.676,5
qimb,60,1,0.05,0.02,0.1994,-0.5255,-1.0709,2.676,5
qimb,60,1,0.1,-0.0037,0.1136,-0.3148,-0.6259,2.676,5
qimb,60,1,0.15,0.0001,0.0493,-0.1369,-0.2738,2.676,5
qimb,60,1,0.2,0.0011,0.0182,-0.0514,-0.1039,2.676,5
qimb,60,2,0.0,0.0983,0.2451,-0.5723,-1.2429,2.676,5
qimb,60,2,0.02,0.1125,0.2351,-0.5336,-1.1797,2.676,5
