signal,w,h_min,ic_overall,mean_daily_ic,t_stat,canary_lo,canary_hi,canary_pass,n_obs,n_days
qimb,30,1,0.00263,0.00437,1.62,-0.00429,0.00056,true,551738,63
qimb,30,2,0.00492,0.00585,1.69,-0.00352,0.00155,true,551738,63
qimb,30,5,0.00746,0.00625,1.43,-0.00244,0.00209,true,551738,63
qimb,60,1,0.00377,0.00548,1.7,-0.0039,-0.00015,true,551738,63
qimb,60,2,0.00594,0.00664,1.55,-0.00335,0.0011,true,551738,63
qimb,60,5,0.01025,0.00856,1.54,-0.00238,0.00174,true,551738,63
qimb,120,1,0.00333,0.00404,1.11,-0.00418,-0.00093,true,551738,63
qimb,120,2,0.00566,0.00581,1.12,-0.00288,0.00091,true,551738,63
qimb,120,5,0.01282,0.01086,1.62,-0.003,0.00117,true,551738,63
ofi,30,1,0.00262,-0.00021,-0.07,-0.00067,0.00189,true,551738,63
ofi,30,2,0.00281,-0.00086,-0.24,-0.00055,0.00292,false,551738,63
ofi,30,5,0.00179,-0.00444,-0.99,-0.00027,0.0039,false,551738,63
ofi,60,1,0.0032,-0.00082,-0.23,-0.00018,0.00222,true,551738,63
ofi,60,2,0.00327,-0.00168,-0.37,-0.00025,0.00271,true,551738,63
ofi,60,5,0.00205,-0.00579,-1.03,-0.00034,0.00406,false,551738,63
ofi,120,1,0.00427,-0.00006,-0.02,0.0005,0.00355,true,551738,63
ofi,120,2,0.00498,-0.00172,-0.34,-0.00019,0.00279,true,551738,63
ofi,120,5,0.00262,-0.00682,-1.02,0.00084,0.00499,false,551738,63
stflow,30,1,0.00107,0.00024,0.08,0.00021,0.00349,false,551738,63
stflow,30,2,-0.00112,-0.00196,-0.52,-0.00068,0.00287,true,551738,63
stflow,30,5,-0.00303,-0.00404,-0.85,-0.00014,0.00432,true,551738,63
stflow,60,1,-0.00055,-0.00207,-0.56,-0.00006,0.00394,true,551738,63
stflow,60,2,-0.00242,-0.00494,-1.06,0.00021,0.00317,true,551738,63
stflow,60,5,-0.00365,-0.00804,-1.43,0.00142,0.00513,true,551738,63
stflow,120,1,-0.00119,-0.00213,-0.56,0.00017,0.00427,true,551738,63
stflow,120,2,-0.00322,-0.00441,-0.83,-0.0011,0.00449,true,551738,63
stflow,120,5,-0.00398,-0.00696,-1.06,0.00101,0.00557,true,551738,63
