w,h_min,overlay,k,thresh,n_trades,trade_mean_bps_1x,trade_median_bps_1x,win_rate,ci_lo_1x,ci_hi_1x,ci_lo_2x,ci_hi_2x,trade_t_1x,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_bps,n_syms
120,5,HOLD,0,0.0,6883,-2.2071,-1.6831,0.4443,-2.8107,-1.5998,-5.0711,-3.8589,-7.27,0.1351,0.02524,0.0789,0.0227,2.107,9
120,5,PERSISTENCE,2,0.05,9305,-2.1825,-1.9294,0.4331,-2.6847,-1.6826,-4.9699,-3.9641,-8.58,0.2856,0.03415,0.2086,0.1316,2.107,9
120,5,PERSISTENCE,2,0.1,6771,-1.9751,-1.8013,0.4344,-2.5058,-1.4438,-4.7276,-3.6645,-7.24,0.2667,0.02546,0.2115,0.1563,2.107,9
120,5,PERSISTENCE,2,0.15,3458,-1.3522,-1.4739,0.4398,-1.9659,-0.7282,-3.9542,-2.7157,-4.24,0.1059,0.01364,0.08,0.0541,2.107,9
120,5,PERSISTENCE,3,0.05,9319,-2.2212,-1.9294,0.4328,-2.7164,-1.727,-5.003,-4.0019,-8.75,0.2801,0.03421,0.2031,0.1261,2.107,9
120,5,PERSISTENCE,3,0.1,6760,-1.9125,-1.7954,0.4351,-2.4498,-1.3796,-4.6775,-3.6008,-7.04,0.2668,0.02542,0.2116,0.1564,2.107,9
120,5,PERSISTENCE,3,0.15,3449,-1.2934,-1.4387,0.4407,-1.9147,-0.6754,-3.9068,-2.6518,-4.06,0.0969,0.01361,0.0711,0.0453,2.107,9
120,5,PERSISTENCE,5,0.05,9305,-2.0666,-1.7944,0.4333,-2.5813,-1.5549,-4.8552,-3.8249,-8.12,0.2906,0.03421,0.214,0.1374,2.107,9
120,5,PERSISTENCE,5,0.1,6712,-1.9162,-1.7798,0.434,-2.4641,-1.3732,-4.6893,-3.5908,-7.06,0.2354,0.02524,0.1808,0.1262,2.107,9
120,5,PERSISTENCE,5,0.15,3427,-1.3616,-1.5007,0.4371,-1.9675,-0.7395,-3.947,-2.7115,-4.41,0.0809,0.01353,0.0554,0.0299,2.107,9
120,10,HOLD,0,0.0,3670,-2.4828,-1.5469,0.4567,-3.6065,-1.3901,-5.8376,-3.6307,-4.43,-0.059,0.01351,-0.0888,-0.1185,2.107,9
120,10,PERSISTENCE,2,0.05,5368,-1.1563,-1.5691,0.459,-2.0542,-0.2447,-4.3143,-2.5035,-2.49,0.5171,0.01969,0.4732,0.4294,2.107,9
120,10,PERSISTENCE,2,0.1,4552,-1.3136,-1.311,0.4618,-2.2465,-0.3769,-4.5088,-2.6271,-2.75,0.5779,0.01697,0.5404,0.5029,2.107,9
120,10,PERSISTENCE,2,0.15,2603,-1.1258,-1.2786,0.4633,-2.1823,-0.0559,-4.2439,-2.1141,-2.07,0.0299,0.01014,0.0098,-0.0103,2.107,9
120,10,PERSISTENCE,3,0.05,5379,-1.1402,-1.5862,0.4598,-2.039,-0.2329,-4.298,-2.4924,-2.46,0.533,0.01974,0.4891,0.4451,2.107,9
120,10,PERSISTENCE,3,0.1,4539,-1.1751,-1.2023,0.4638,-2.1295,-0.2368,-4.3894,-2.4984,-2.46,0.5843,0.01692,0.5469,0.5095,2.107,9
120,10,PERSISTENCE,3,0.15,2594,-1.125,-1.2927,0.463,-2.1879,-0.06,-4.2382,-2.1233,-2.1,0.0288,0.01011,0.0087,-0.0113,2.107,9
120,10,PERSISTENCE,5,0.05,5396,-1.1756,-1.3591,0.4598,-2.0877,-0.2798,-4.3458,-2.537,-2.53,0.5604,0.0198,0.5163,0.4722,2.107,9
120,10,PERSISTENCE,5,0.1,4522,-1.3923,-1.309,0.462,-2.3329,-0.477,-4.5856,-2.741,-2.92,0.5177,0.01685,0.4804,0.4432,2.107,9
