markout_sec,qimb_thr,real_mean_bps,shuf_lo_bps,shuf_hi_bps,beats_canary
1,0.0,1.0627,1.0821,1.0867,false
1,0.05,1.1132,1.1118,1.115,false
1,0.1,1.1218,1.118,1.1193,true
1,0.2,1.1025,1.1015,1.102,true
1,0.4,1.0872,1.0871,1.0872,true
5,0.0,0.8523,0.8909,0.8999,false
5,0.05,0.9113,0.92,0.9233,false
5,0.1,0.9287,0.9283,0.9309,false
5,0.2,0.9156,0.9146,0.9152,true
5,0.4,0.9026,0.9025,0.9027,false
30,0.0,0.7071,0.7353,0.768,false
30,0.05,0.7758,0.7801,0.7993,false
30,0.1,0.801,0.7998,0.8086,false
30,0.2,0.7956,0.7941,0.7965,false
30,0.4,0.7851,0.7849,0.7852,false
60,0.0,0.6883,0.7028,0.7451,false
60,0.05,0.7686,0.7557,0.7777,false
60,0.1,0.7933,0.7875,0.7951,false
60,0.2,0.7913,0.79,0.7931,false
60,0.4,0.7821,0.7817,0.7822,false
