split,fill,overlay,qimb_thr,markout_sec,n_fills,earned_spread_bps,adverse_drift_bps,markout_mean_bps,markout_ci_lo,markout_ci_hi,markout_t,win_rate,cross_mean_bps,cross_ci_lo,cross_ci_hi
ALL,trade_through,baseline,,1,2708065,0.7557,-0.1498,0.6059,0.6035,0.6081,519.71,0.6352,-0.2885,-0.2907,-0.2864
ALL,trade_through,baseline,,5,2708065,0.7557,-0.1748,0.5809,0.5771,0.5842,311.04,0.5865,-0.3136,-0.3172,-0.3103
ALL,trade_through,baseline,,30,2708065,0.7557,-0.1778,0.5779,0.5699,0.5854,142.31,0.5377,-0.3165,-0.3246,-0.3091
ALL,trade_through,baseline,,60,2708065,0.7557,-0.1775,0.5782,0.5664,0.5889,101.88,0.5266,-0.3162,-0.3279,-0.3054
ALL,trade_through,qimb,0.0,1,1337612,0.7183,-0.1584,0.5599,0.5568,0.5633,342.3,0.625,-0.3278,-0.3307,-0.3246
ALL,trade_through,qimb,0.0,5,1337612,0.7183,-0.1892,0.5291,0.5244,0.5342,200.67,0.5792,-0.3586,-0.3635,-0.3535
ALL,trade_through,qimb,0.0,30,1337612,0.7183,-0.1955,0.5228,0.5114,0.5337,90.85,0.5341,-0.3649,-0.3762,-0.3542
ALL,trade_through,qimb,0.0,60,1337612,0.7183,-0.1967,0.5217,0.5053,0.5369,64.77,0.5237,-0.3661,-0.3823,-0.3507
ALL,trade_through,qimb,0.05,1,2057870,0.7521,-0.1559,0.5962,0.5936,0.5989,442.44,0.6332,-0.3094,-0.3119,-0.3069
ALL,trade_through,qimb,0.05,5,2057870,0.7521,-0.1841,0.568,0.5637,0.5722,261.88,0.5839,-0.3376,-0.3418,-0.3335
ALL,trade_through,qimb,0.05,30,2057870,0.7521,-0.1928,0.5592,0.5504,0.5688,118.2,0.5362,-0.3463,-0.3552,-0.3368
ALL,trade_through,qimb,0.05,60,2057870,0.7521,-0.1971,0.555,0.542,0.5681,83.85,0.5251,-0.3506,-0.3635,-0.3373
ALL,trade_through,qimb,0.1,1,2447789,0.7669,-0.1539,0.6131,0.6107,0.6156,494.64,0.6371,-0.2988,-0.301,-0.2965
ALL,trade_through,qimb,0.1,5,2447789,0.7669,-0.1803,0.5866,0.5828,0.5905,294.96,0.5867,-0.3252,-0.329,-0.3214
ALL,trade_through,qimb,0.1,30,2447789,0.7669,-0.1871,0.5798,0.5716,0.5881,133.73,0.5375,-0.332,-0.3403,-0.3238
ALL,trade_through,qimb,0.1,60,2447789,0.7669,-0.1913,0.5757,0.5636,0.588,94.98,0.5261,-0.3362,-0.3482,-0.324
ALL,trade_through,qimb,0.2,1,2660827,0.7636,-0.1512,0.6125,0.6102,0.6147,518.12,0.637,-0.2909,-0.2931,-0.2888
ALL,trade_through,qimb,0.2,5,2660827,0.7636,-0.1764,0.5872,0.5838,0.5911,310.03,0.5874,-0.3162,-0.3197,-0.3124
ALL,trade_through,qimb,0.2,30,2660827,0.7636,-0.1797,0.584,0.576,0.5918,141.73,0.538,-0.3195,-0.3275,-0.3115
ALL,trade_through,qimb,0.2,60,2660827,0.7636,-0.1803,0.5833,0.5719,0.5942,101.3,0.5267,-0.3201,-0.3312,-0.3092
ALL,trade_through,qimb,0.4,1,2706762,0.7559,-0.1499,0.6061,0.6039,0.6084,519.69,0.6352,-0.2886,-0.2907,-0.2864
ALL,trade_through,qimb,0.4,5,2706762,0.7559,-0.1749,0.5811,0.5775,0.5847,311.03,0.5865,-0.3136,-0.3171,-0.31
ALL,trade_through,qimb,0.4,30,2706762,0.7559,-0.1778,0.5781,0.57,0.5856,142.31,0.5377,-0.3166,-0.3246,-0.3093
ALL,trade_through,qimb,0.4,60,2706762,0.7559,-0.1776,0.5784,0.567,0.5893,101.87,0.5266,-0.3163,-0.3279,-0.3054
ALL,queue_proxy,baseline,,1,2104658,0.5469,-0.2904,0.2565,0.2542,0.2588,223.14,0.5442,-0.5932,-0.5955,-0.5909
ALL,queue_proxy,baseline,,5,2104658,0.5469,-0.5376,0.0093,0.0057,0.0134,4.76,0.4786,-0.8404,-0.8442,-0.8364
ALL,queue_proxy,baseline,,30,2104658,0.5469,-0.6336,-0.0867,-0.0957,-0.0776,-18.81,0.4823,-0.9364,-0.9455,-0.9273
ALL,queue_proxy,baseline,,60,2104658,0.5469,-0.636,-0.0891,-0.1018,-0.076,-13.68,0.4877,-0.9388,-0.9513,-0.9259
ALL,queue_proxy,qimb,0.0,1,1034922,0.5109,-0.304,0.2069,0.2037,0.21,127.91,0.5307,-0.639,-0.6422,-0.6358
ALL,queue_proxy,qimb,0.0,5,1034922,0.5109,-0.5591,-0.0482,-0.0536,-0.0426,-17.3,0.4681,-0.8941,-0.8995,-0.8883
ALL,queue_proxy,qimb,0.0,30,1034922,0.5109,-0.6601,-0.1492,-0.1616,-0.1365,-22.71,0.4776,-0.9951,-1.0074,-0.9822
ALL,queue_proxy,qimb,0.0,60,1034922,0.5109,-0.6638,-0.1529,-0.1717,-0.1345,-16.44,0.4838,-0.9987,-1.0176,-0.9808
ALL,queue_proxy,qimb,0.05,1,1601011,0.5421,-0.3008,0.2413,0.2388,0.2439,181.43,0.5421,-0.6212,-0.6237,-0.6188
