universe,leg,F,S,H,n_rebal,turnover,gross_mean,gross_t,net1_mean,net1_t,net2_mean,oos_net1_mean,oos_net1_t,oos_n,oos_ci_lo,oos_ci_hi,full_ci_lo,full_ci_hi,canary_mean,canary_sd,demean_mean,demean_t,n_flagged_spread
liquid500,decile,21,0,5,20,0.4095,0.00746,0.62,0.00703,0.58,0.00661,-0.00003,-0.0,11,-0.03389,0.03423,-0.0172,0.02945,-0.0002,0.00233,-0.02406,-1.92,0
liquid500,decile,21,0,10,10,0.59,-0.00348,-0.11,-0.00408,-0.13,-0.00468,-0.01771,-0.3,5,-0.11898,0.07968,-0.06207,0.0519,0.00223,0.00705,-0.06578,-2.12,0
liquid500,decile,21,0,21,4,0.7725,0.01226,0.64,0.01151,0.6,0.01075,NaN,NaN,2,NaN,NaN,-0.02032,0.04087,0.00697,0.01396,-0.1204,-3.14,0
liquid500,decile,21,2,5,20,0.4095,0.00872,0.91,0.0083,0.86,0.00787,0.00594,0.42,12,-0.01979,0.0329,-0.00983,0.02647,-0.00165,0.00298,-0.02333,-2.34,0
liquid500,decile,21,2,10,10,0.59,0.01513,0.67,0.01453,0.65,0.01392,0.01772,0.48,6,-0.04685,0.08398,-0.02462,0.05781,0.00129,0.00972,-0.04779,-2.17,0
liquid500,decile,21,2,21,4,0.7725,0.03463,1.59,0.03388,1.55,0.03312,NaN,NaN,2,NaN,NaN,-0.00676,0.07215,0.00065,0.01677,-0.09814,-3.32,0
liquid500,decile,42,0,5,16,0.295,0.01425,0.83,0.01395,0.81,0.01365,0.02034,1.01,12,-0.01876,0.05779,-0.01912,0.04593,0.00131,0.00387,-0.02542,-1.46,0
liquid500,decile,42,0,10,8,0.435,0.01097,0.38,0.01052,0.36,0.01008,0.01992,0.51,6,-0.04973,0.08847,-0.04063,0.06509,0.00051,0.00701,-0.06397,-2.29,0
liquid500,decile,42,0,21,3,0.5667,0.04374,0.86,0.04315,0.85,0.04256,NaN,NaN,2,NaN,NaN,-0.0222,0.14309,0.00201,0.02069,-0.12164,-5.39,0
liquid500,decile,42,2,5,16,0.295,0.01627,1.46,0.01598,1.43,0.01568,0.02019,1.68,12,-0.00429,0.04078,-0.00633,0.03565,0.00021,0.00473,-0.02343,-2.08,0
liquid500,decile,42,2,10,8,0.435,0.01682,0.55,0.01637,0.54,0.01593,0.02193,0.6,6,-0.04854,0.07527,-0.04442,0.06684,-0.00538,0.00474,-0.05915,-2.17,0
liquid500,decile,42,2,21,3,0.5667,0.04154,0.8,0.04095,0.79,0.04036,NaN,NaN,2,NaN,NaN,-0.0281,0.14269,-0.00092,0.02133,-0.12207,-6.79,0
liquid500,decile,63,0,5,12,0.24,0.02722,1.42,0.02696,1.41,0.0267,0.02696,1.41,12,-0.00945,0.06198,-0.0096,0.06239,0.0015,0.00263,-0.01933,-0.95,0
liquid500,decile,63,0,10,6,0.3517,0.04262,1.68,0.04223,1.67,0.04183,0.04223,1.67,6,-0.00152,0.08754,-0.00247,0.08841,-0.00328,0.00485,-0.04564,-1.31,0
liquid500,decile,63,2,5,11,0.2409,0.01406,0.52,0.0138,0.51,0.01354,0.0138,0.51,11,-0.03985,0.06072,-0.03927,0.06097,0.00212,0.0067,-0.02684,-0.94,0
liquid500,decile,63,2,10,5,0.36,0.06596,1.54,0.06555,1.53,0.06515,0.06555,1.53,5,-0.00551,0.14292,-0.00551,0.1367,0.00292,0.0098,-0.01758,-0.68,0
liquid500,quintile,21,0,5,20,0.3565,0.00691,0.68,0.00658,0.64,0.00625,-0.00132,-0.09,11,-0.02968,0.02578,-0.01354,0.02595,-0.00038,0.00274,-0.01579,-1.52,0
liquid500,quintile,21,0,10,10,0.5135,0.00879,0.34,0.00834,0.33,0.00789,0.00138,0.03,5,-0.08286,0.07533,-0.03994,0.05545,0.00117,0.00673,-0.03514,-1.4,0
liquid500,quintile,21,0,21,4,0.7237,-0.00319,-0.16,-0.00379,-0.19,-0.00439,NaN,NaN,2,NaN,NaN,-0.03662,0.02905,-0.00377,0.01346,-0.09596,-2.74,0
liquid500,quintile,21,2,5,20,0.3565,0.00664,0.86,0.0063,0.82,0.00597,0.00213,0.19,12,-0.01751,0.02419,-0.00808,0.02114,-0.00058,0.0034,-0.01635,-2.03,0
liquid500,quintile,21,2,10,10,0.5135,0.0175,0.91,0.01705,0.89,0.01659,0.01957,0.61,6,-0.03552,0.07702,-0.01719,0.05455,-0.00202,0.00542,-0.02656,-1.41,0
liquid500,quintile,21,2,21,4,0.7237,0.01444,0.86,0.01384,0.83,0.01324,NaN,NaN,2,NaN,NaN,-0.01341,0.04109,0.00312,0.00927,-0.0785,-2.8,0
liquid500,quintile,42,0,5,16,0.2491,0.01296,0.97,0.01272,0.96,0.01249,0.01786,1.15,12,-0.01221,0.04555,-0.01308,0.03761,0.00129,0.00226,-0.01524,-1.12,0
liquid500,quintile,42,0,10,8,0.37,0.00892,0.34,0.00858,0.33,0.00824,0.01497,0.43,6,-0.04736,0.07905,-0.03748,0.0576,0.00075,0.00458,-0.04453,-1.74,0
liquid500,quintile,42,0,21,3,0.5217,0.02449,0.62,0.02401,0.61,0.02353,NaN,NaN,2,NaN,NaN,-0.0167,0.10307,0.00364,0.01098,-0.08805,-7.89,0
liquid500,quintile,42,2,5,16,0.2491,0.01061,1.18,0.01038,1.15,0.01014,0.01365,1.39,12,-0.00596,0.03069,-0.00765,0.02652,-0.00072,0.00253,-0.01746,-1.82,0
liquid500,quintile,42,2,10,8,0.37,0.01157,0.44,0.01123,0.43,0.01089,0.01635,0.54,6,-0.04121,0.06601,-0.03828,0.05709,-0.00009,0.0057,-0.04169,-1.69,0
liquid500,quintile,42,2,21,3,0.5217,0.0186,0.48,0.01811,0.47,0.01763,NaN,NaN,2,NaN,NaN,-0.02143,0.09535,-0.0004,0.01385,-0.09122,-8.85,0
liquid500,quintile,63,0,5,12,0.2179,0.01583,0.94,0.01561,0.93,0.0154,0.01561,0.93,12,-0.01563,0.046,-0.01684,0.04656,0.00064,0.00285,-0.0184,-1.04,0
liquid500,quintile,63,0,10,6,0.31,0.03078,1.47,0.03048,1.45,0.03018,0.03048,1.45,6,-0.00684,0.06778,-0.00587,0.06778,0.00133,0.00731,-0.03518,-1.17,0
liquid500,quintile,63,2,5,11,0.2177,0.01065,0.51,0.01043,0.5,0.01022,0.01043,0.5,11,-0.03049,0.04606,-0.03043,0.04675,0.00226,0.00309,-0.0202,-0.9,0
liquid500,quintile,63,2,10,5,0.31,0.05563,2.32,0.05533,2.31,0.05503,0.05533,2.31,5,0.01343,0.09582,0.01343,0.09582,0.00309,0.00593,-0.00952,-0.53,0
megacap100,decile,21,0,5,20,0.4025,0.03058,1.72,0.03029,1.7,0.02999,0.02038,0.72,11,-0.02924,0.074,-0.0025,0.0651,-0.00056,0.01038,-0.0146,-0.83,0
megacap100,decile,21,0,10,10,0.58,0.01137,0.26,0.01096,0.25,0.01056,-0.00474,-0.06,5,-0.13881,0.15662,-0.0697,0.09325,0.02218,0.01885,-0.0812,-1.98,0
megacap100,decile,21,0,21,4,0.75,0.07343,3.71,0.07288,3.67,0.07233,NaN,NaN,2,NaN,NaN,0.0393,0.10646,-0.00273,0.05075,-0.11345,-2.18,0
megacap100,decile,21,2,5,20,0.4025,0.02339,1.42,0.02309,1.41,0.0228,0.01315,0.63,12,-0.02543,0.05253,-0.00849,0.05547,0.0001,0.00567,-0.02231,-1.35,0
megacap100,decile,21,2,10,10,0.58,0.03073,0.81,0.03033,0.8,0.02993,0.01696,0.27,6,-0.09121,0.12443,-0.04195,0.09976,-0.00064,0.01407,-0.06165,-1.83,0
