symbol,rt_spread_bps
NVDA,0.566
TSLA,1.535
MU,3.303
SNDK,9.577
MSFT,1.441
AAPL,1.1
AMZN,1.413
AMD,4.056
GOOGL,1.253
META,2.426
AVGO,2.789
PLTR,2.026
INTC,2.229
GOOG,1.519
TSM,3.234
LITE,17.367
ORCL,2.733
NFLX,1.072
MSTR,5.378
WDC,10.518
ASML,6.169
APP,12.534
LLY,6.209
CRWV,4.922
HOOD,2.66
NOW,2.934
GEV,12.38
CRM,5.255
XOM,1.868
UNH,3.668
JPM,2.978
LRCX,8.535
COIN,7.354
WMT,1.581
V,2.427
AMAT,7.481
BE,18.338
IREN,4.684
BRK.B,2.726
RKLB,4.392
NBIS,10.664
CAT,7.421
GS,6.085
COHR,19.671
GLW,11.318
STX,16.249
CVX,1.653
MRVL,3.666
BAC,1.95
MA,4.903
VRT,8.485
COST,6.459
ASTS,10.417
BABA,3.648
BA,7.221
CRWD,9.27
JNJ,3.454
AAOI,19.225
CSCO,1.276
GE,4.283
C,3.182
UBER,2.649
QCOM,3.951
SOFI,6.118
INTU,9.573
ADBE,5.32
KLAC,18.14
CRCL,11.417
PANW,5.936
HD,3.893
PG,2.048
WFC,2.451
DELL,10.393
TXN,7.206
IBM,5.262
BKNG,2.349
APH,5.472
SHOP,8.32
VZ,2.055
ANET,8.371
SNOW,9.066
ABBV,6.507
FCX,3.266
KO,1.298
PFE,3.724
ARM,9.772
CIEN,21.996
BMNR,4.595
MS,4.183
CVNA,11.689
SPOT,13.913
MRK,3.29
ADI,8.154
ACN,7.325
NKE,2.179
TMO,7.503
ONDS,9.611
SMCI,3.237
IONQ,4.131
T,3.939
ETN,7.414
BSX,3.078
ABT,2.347
LIN,4.447
CRDO,16.035
MELI,10.705
AAL,8.61
CEG,7.615
APLD,6.308
DIS,2.076
NEM,5.156
ALAB,18.134
TMUS,5.372
MCD,2.849
RTX,7.093
AXP,4.219
TER,18.357
COF,7.65
COP,2.613
OKLO,13.336
SCHW,3.171
ISRG,8.532
NVO,2.56
SPGI,6.981
CLS,21.861
RDDT,14.937
NET,18.339
PEP,3.899
SNPS,9.786
PYPL,2.186
LMT,8.385
NU,7.065
SLB,1.866
DASH,9.937
F,8.153
VST,10.284
QBTS,4.718
CMCSA,3.59
PDD,2.969
HON,6.444
NEE,2.293
DHR,7.453
BX,7.868
SBUX,4.055
AMGN,6.335
SATS,11.91
DDOG,13.733
MDT,2.62
CCL,3.739
AXTI,20.02
GILD,5.295
RCL,10.167
PM,6.029
OXY,1.769
UNP,6.938
DE,10.351
VLO,10.54
TJX,6.278
CDNS,8.569
WDAY,10.543
SYK,8.054
SAP,6.814
UAL,7.994
DAL,4.104
BLK,8.811
RGTI,5.493
SHEL,1.124
B,2.447
PWR,14.158
WULF,4.915
NOK,10.015
CME,5.732
DVN,2.145
FIX,38.873
ADP,5.636
MPWR,20.764
RBLX,8.348
HIMS,5.004
CIFR,5.256
TGT,6.119
GM,3.823
LOW,6.517
TEAM,10.378
MARA,8.4
MO,2.894
CMG,3.025
WBD,3.661
AEM,11.036
BMY,1.698
AZO,16.77
KKR,8.794
LNG,9.18
MCHP,4.606
MCK,17.538
PH,12.209
TT,9.559
CVS,3.359
MDB,15.03
ON,4.749
UPS,3.849
PGR,9.246
SHW,6.301
CRH,5.789
FDX,12.507
KMB,3.104
EOG,5.09
FSLR,23.528
MDLZ,1.729
VALE,6.096
NXPI,11.01
CDE,5.338
ZTS,6.812
HWM,12.775
ABNB,9.654
VRTX,9.285
ORLY,3.419
APO,8.464
HCA,11.94
FTNT,4.714
AG,4.804
REGN,10.332
CMI,12.535
KVUE,5.7
AMT,7.495
RIVN,6.542
NOC,11.736
MPC,12.252
WELL,9.24
MMM,6.216
LULU,12.122
CL,3.268
CB,5.603
AXON,21.748
EQT,4.721
HLT,7.762
USB,1.825
MCO,9.302
ZS,10.839
CSX,2.312
TSEM,30.056
AZN,4.786
AKAM,13.352
CCJ,13.861
ELV,8.475
JCI,7.488
SE,10.507
ICE,5.997
BP,2.249
MRSH,8.556
BKR,3.182
HAL,2.548
URI,16.484
PBR,4.879
MAR,8.35
DOW,2.689
TTD,4.408
PATH,8.965
MP,11.942
HL,5.36
PL,10.233
RKT,6.66
SO,2.158
NCLH,5.226
TDG,10.693
DUK,2.373
CPNG,5.188
HBAN,6.209
XYZ,6.714
ROP,11.298
WM,9.642
ARES,14.877
TEL,15.483
WMB,2.817
PNC,9.757
ADSK,11.368
EXPE,18.171
AJG,9.281
EQIX,15.529
FANG,10.997
TFC,2.061
ALB,20.157
FN,37.083
AA,8.708
HPE,3.483
CHTR,11.851
PAAS,3.572
LHX,8.466
BNY,5.157
EBAY,5.675
MSI,9.523
SMR,8.316
FISV,3.594
AON,8.216
DG,8.617
ROST,8.766
EMR,9.158
FICO,24.87
HUBS,20.874
HUT,16.003
LYB,5.871
FIG,9.713
KR,4.11
CI,8.021
CARR,4.636
CNQ,2.178
TRV,6.004
EW,4.634
COR,8.364
ZM,7.854
MRNA,10.359
FITB,2.021
BDX,8.773
VEEV,9.742
KMI,3.088
CTSH,3.36
HPQ,4.834
RF,3.621
PINS,5.001
AFRM,12.046
ODFL,14.545
GD,7.055
FTAI,36.938
RIOT,5.424
USAR,7.427
MNST,4.073
DHI,8.817
TTWO,11.937
STM,2.784
RIO,3.389
PSX,10.27
GIS,2.852
DKNG,4.012
VRSK,8.65
LUV,4.873
ULTA,14.859
IBKR,4.991
KHC,4.289
LYV,11.3
OKE,3.486
EL,8.821
PCG,5.867
KGC,3.205
ALNY,13.333
PLD,6.063
FLUT,12.629
BIDU,13.736
ECL,7.09
KEYS,23.154
O,1.6
CLSK,8.127
TEM,10.664
NRG,11.933
HSY,9.033
AEP,4.557
CF,13.781
NVTS,6.775
INSM,13.893
JOBY,10.23
KEY,4.622
U,4.495
SCCO,18.74
EXE,5.305
PAYX,5.505
APD,8.694
FERG,16.629
TWLO,17.912
MKSI,32.029
LUNR,8.551
EXC,2.166
DLTR,10.259
DOCN,26.178
TSCO,3.325
CAH,9.495
AVAV,28.78
XEL,2.485
KTOS,16.1
EA,1.99
ITW,6.582
ET,5.245
TOST,3.729
BTI,1.72
JBL,28.393
VMC,8.267
SNAP,17.079
UL,1.722
ARGX,17.42
D,3.187
STZ,11.133
ROK,15.049
ENTG,18.161
WPM,13.673
CPRT,3.003
JD,3.347
DXCM,7.384
AU,15.229
CTAS,10.565
BHP,3.435
IDXX,15.322
OWL,10.045
ROKU,15.5
PCAR,6.994
HUM,13.096
DLR,8.444
DPZ,13.057
MSCI,17.35
OMC,5.254
RDW,9.43
NVS,4.626
MLM,17.913
NSC,6.999
EFX,13.118
TLN,26.835
ALL,12.205
CHRW,15.156
NVT,20.04
OKTA,10.303
CVE,3.784
CFG,3.177
RSG,12.137
ACHR,16.221
IQV,21.025
SYF,4.155
OPEN,20.02
MTZ,26.379
GSK,1.914
PLUG,32.103
SRE,3.139
CASY,25.059
LEN,9.09
MOD,44.394
W,16.644
SOUN,12.323
FAST,2.231
WAT,17.361
SU,3.099
NUE,9.499
NDAQ,5.817
ENPH,9.346
CRS,43.454
NTRA,31.989
ATI,21.742
KDP,3.692
HUBB,16.617
CELH,6.163
PPL,2.628
LPLA,18.339
BRK.A,10.847
CCI,6.982
FUTU,11.852
GTLS,0.482
ITUB,11.898
CORZ,4.676
UUUU,5.792
CSGP,6.907
AMKR,10.477
AMP,12.31
INFY,7.516
FIS,4.296
FLEX,11.266
MTSI,37.35
OTIS,4.159
WCN,9.036
RIG,15.637
STRC,1.005
PSA,8.483
TPR,14.82
IR,8.399
NIO,16.906
BBY,6.236
TECK,4.646
MDLN,4.576
RACE,6.365
TRGP,13.099
RVMD,17.43
GEHC,5.573
DUOL,16.768
CBRE,12.612
YUM,9.281
FTI,4.529
SPG,10.359
BN,2.186
MET,4.358
BBAI,25.608
SYY,4.162
EME,28.882
CTVA,6.319
CLX,7.697
XPO,26.705
ETR,4.536
CAG,6.814
CAVA,14.833
GWW,17.884
RMBS,28.096
ENB,1.863
DRI,15.805
PR,5.029
AIG,3.974
STT,8.867
QXO,5.422
Q,20.013
