k,subset,horizon,n_burst,burst_bps,ctrl_bps,diff_bps,t
k2,all,fwd_5min,710,-1.208799230367423,1.0352804023653444,-2.2440796327327677,-0.8524632970175915
k2,all,fwd_30min,664,-2.013138560338854,1.7382626840897264,-3.751401244428581,-0.6342725681440278
k2,all,1d,710,2.5985752760504384,-0.10479316403474917,2.7033684400851876,0.20047690678678276
k2,all,2d,706,-16.92967113277933,0.690488031180947,-17.620159163960277,-0.7694044241165067
k2,all,5d,684,-20.99244324687687,0.8738334457682438,-21.866276692645116,-0.539600553774912
k2,catalyst,fwd_5min,224,3.6101798298830987,-0.9754888804509217,4.585668710334021,1.6367685473288118
k2,catalyst,fwd_30min,207,3.2149257743637607,-0.8653961447247054,4.080321919088465,0.5425129803094294
k2,catalyst,1d,226,-5.584267341196738,0.0716826320067287,-5.655949973203466,-0.27212856388067
k2,catalyst,2d,224,-42.67376865583957,0.5522197677012161,-43.225988423540784,-1.142940875725038
k2,catalyst,5d,220,-75.77051825671067,1.0144543583542074,-76.78497261506489,-1.2922742914802472
k2,no_catalyst,fwd_5min,486,-2.7475557720898647,1.610750428511067,-4.358306200600931,-1.4148347340465466
k2,no_catalyst,fwd_30min,457,-1.3906133417491848,0.8264113097261078,-2.2170246514752927,-0.31507092573680845
k2,no_catalyst,1d,484,6.065093595632487,-0.16673323300500467,6.231826828637492,0.36287604238093596
k2,no_catalyst,2d,482,-5.649441310140124,0.1573096887052315,-5.806750998845356,-0.20447267022409316
k2,no_catalyst,5d,464,4.90645577167587,-0.13854646288081882,5.045002234556689,0.09652129982379781
k3,all,fwd_5min,442,-0.8874500627885723,0.35756875820651723,-1.2450188209950894,-0.36191787518623586
k3,all,fwd_30min,408,-2.6650140480373987,1.0608055918041546,-3.7258196398415535,-0.4994696119910868
k3,all,1d,441,17.749465353032683,-0.4379028934650298,18.187368246497716,1.0176166063221168
k3,all,2d,438,-16.83442400839312,0.4194719374033556,-17.253895945796476,-0.5377789122291768
k3,all,5d,425,-44.39118475007563,1.1303249367193209,-45.52150968679496,-0.8202011090120603
k3,catalyst,fwd_5min,155,3.3736938999529404,-0.4766841882340067,3.850378088186947,0.9738145371225253
k3,catalyst,fwd_30min,140,-0.4589467403679867,0.06268540844050532,-0.5216321488084921,-0.051587123070727624
k3,catalyst,1d,156,19.588481188245122,-0.17095401764286555,19.75943520588799,0.8565145142565272
k3,catalyst,2d,154,-30.467069266082287,0.26692050671160894,-30.733989772793894,-0.664763086488529
k3,catalyst,5d,151,-118.56260100259648,1.0726111528004338,-119.63521215539691,-1.7032769605927423
k3,no_catalyst,fwd_5min,287,-2.5270743041694135,0.6611397678182516,-3.188214071987665,-0.7578146560198122
k3,no_catalyst,fwd_30min,268,-0.6187173116114745,0.16177194098719494,-0.7804892525986694,-0.08236011730215863
k3,no_catalyst,1d,285,17.0210377257897,-0.27138437772587765,17.292422103515577,0.706518300132542
k3,no_catalyst,2d,284,-9.47414261499053,0.15306954731239703,-9.627212162302927,-0.22603747916051256
k3,no_catalyst,5d,274,-2.988085529650423,0.04905250944366471,-3.0371380390940876,-0.0396529506650957
k4,all,fwd_5min,294,0.35405741432797405,-0.08360873880515979,0.43766615313313384,0.0927163970890313
k4,all,fwd_30min,266,0.7886085197367785,-0.1797513849614247,0.9683599046982031,0.09447537655433157
k4,all,1d,293,21.84725035164159,-0.35517085685129957,22.202421208492893,0.9223372646820144
k4,all,2d,291,-14.760858868962494,0.2423362443367045,-15.003195113299197,-0.3514999405379407
k4,all,5d,285,-74.28691207861168,1.2579032702991093,-75.54481534891079,-1.0339289438691726
k4,catalyst,fwd_5min,124,4.143729497538321,-0.4127088013612462,4.556438298899567,0.96493284400088
k4,catalyst,fwd_30min,112,3.8571575649246803,-0.37018136012987496,4.227338925054555,0.3552969965206137
k4,catalyst,1d,124,12.569053844604655,-0.08647631785668106,12.655530162461336,0.4665557654419631
k4,catalyst,2d,123,-27.142714536166107,0.18835282865717565,-27.33106736482328,-0.49901146016553
k4,catalyst,5d,120,-106.22524795226059,0.7573542721330452,-106.98260222439363,-1.2869345530877612
k4,no_catalyst,fwd_5min,170,-1.6725403530169336,0.2283790040264088,-1.9009193570433423,-0.29631805090305396
k4,no_catalyst,fwd_30min,154,3.778147030541003,-0.4985729586146647,4.2767199891556675,0.2861265705233988
k4,no_catalyst,1d,169,28.964859687071513,-0.27160080381263296,29.236460490884145,0.7999113676685576
k4,no_catalyst,2d,168,-5.930026740008662,0.05620561310699356,-5.986232353115655,-0.09631514484096129
k4,no_catalyst,5d,165,-51.10715447810216,0.5010207645943121,-51.608175242696475,-0.4668498573864152
