symbol,avg_dollar_vol,ndays
SPY,44620324413.67376,63
NVDA,33058206506.78498,63
MU,33004501679.71518,62
QQQ,32714361819.007057,63
TSLA,23103168550.495735,63
SNDK,16987800883.992908,62
MSFT,14359827163.640852,63
AMD,13388151028.39205,62
AAPL,13185672524.753479,62
INTC,11801831097.080112,62
AMZN,10968508034.905663,62
META,10411777350.995424,63
GOOGL,10374688038.744339,63
AVGO,9840238737.429344,62
MRVL,7141169966.570161,62
GOOG,7084562363.112878,63
PLTR,6272038547.317392,62
LITE,5500496636.774138,62
TSM,5222918463.015254,62
ORCL,4763309510.849269,62
QCOM,3882087859.8812537,62
NFLX,3503520322.562579,63
WDC,3164302047.4874177,62
CRWV,3076582576.7703743,62
AMAT,3055895592.223053,62
LLY,3052587318.778674,63
NBIS,3010594307.2578397,62
XOM,2952316322.347716,63
NOW,2801642327.580457,62
ASML,2799236702.49389,62
MSTR,2753864298.806962,62
UNH,2737064187.964633,63
LRCX,2686028713.3722687,62
ARM,2644251128.207879,62
JPM,2612677546.822182,63
RKLB,2589085871.8210626,62
STX,2573096855.2313433,62
GEV,2554181772.269658,62
CRM,2511842579.5859776,62
WMT,2489266376.704545,62
DELL,2477556467.575195,62
BE,2409372957.0134363,62
HOOD,2402039307.2736764,62
CSCO,2330977015.2065573,62
V,2330717887.8439865,63
BRK.B,2316438737.396798,62
IREN,2306186303.8301325,62
COHR,2218098588.5824785,62
APP,2197914845.2443123,62
GLW,2167088333.19254,62
CAT,2073840025.0758412,62
VRT,2064474294.7673545,62
CVX,2055613569.673909,62
IBM,2019765665.486072,62
TXN,1981509271.357958,62
AAOI,1946918221.8836086,62
COST,1937776695.768786,63
GS,1903767572.1995115,62
ASTS,1871695733.1146133,62
COIN,1862328914.6947227,62
KLAC,1845552065.946691,62
CRWD,1824549607.189234,62
BAC,1808260446.975641,62
PANW,1753176232.2390645,62
MA,1733850795.650458,63
GE,1683800229.7782495,62
JNJ,1679513124.3577967,62
CRCL,1653308298.075726,62
SMCI,1563977837.8995953,62
INTU,1522649628.0695868,62
SNOW,1518249414.8939004,62
IONQ,1496606833.3968732,62
BABA,1479907611.7593179,62
ADI,1466056657.571316,62
BA,1463308162.346868,62
C,1461403976.3723102,62
HD,1412272714.4538698,62
ADBE,1380795648.0313623,62
CRDO,1361178376.4748263,62
CIEN,1359535524.7161806,62
ANET,1354837428.2343981,62
NOK,1330239020.8862126,62
PG,1301672619.8558335,62
APH,1294117990.1675825,62
ABBV,1269132896.0588274,62
ALAB,1264501874.3724246,62
BKNG,1264062799.0757532,62
UBER,1258781162.5858262,62
WFC,1243336381.0228148,62
TER,1232592709.6256995,62
ABT,1180119802.0805628,62
VZ,1143789194.8213694,62
KO,1142365079.2163079,62
SHOP,1120793638.2008486,62
SOFI,1116296098.9831696,62
MS,1101107349.7449768,62
LIN,1099216787.6351297,62
BSX,1088755269.091473,62
MRK,1088055383.9830165,62
MCD,1081951617.5531282,62
TMUS,1069566455.0039201,62
ON,1067925217.5992652,62
ACN,1037286001.1240299,62
T,1035381083.3531473,62
NKE,1033576643.6927786,62
TMO,1022021908.0760868,62
DDOG,1004126650.0705527,62
COP,1004005228.7592573,62
SPOT,998327185.735849,62
PEP,993828076.5617336,62
ETN,979017132.6170897,62
CEG,966629165.7060488,62
SATS,966244021.4849877,62
SCHW,964855432.5394075,62
ISRG,956106641.5042638,62
NET,954878687.0955123,62
AXTI,950592549.1613837,62
PFE,943903546.4834921,62
FCX,941516232.5073881,62
AXP,934660781.28376,62
RTX,933641254.9858468,62
NEM,928848247.4398339,62
NXPI,927215009.2140273,62
NEE,923763485.744636,62
MPWR,921184610.8710269,62
HON,919788917.6423165,62
HPE,911654828.577923,62
DIS,900716549.4839597,62
MELI,900479204.9343851,62
AMGN,896431958.9405097,62
AAL,888055734.8147548,62
MCHP,881465685.1625701,62
CVNA,864314502.5947511,62
OKLO,862977561.5795921,62
COF,843133075.3055826,62
CAR,840015073.1956211,62
CMCSA,839729796.4882891,62
AZO,830092510.2366394,62
