hypothesis,stat,target,window,regime,n,median_logratio,mean_logratio,shuffle_z,resid_median,collapse,oos,p,fdr_survive,net_bps_5,win_rate_5,net_bps_10,win_rate_10
H1,vol,vol_abn,5,all,3621,0.3144741808847816,0.46774515223492147,19.251998723260982,-0.036334760820570605,0.08330077356692588,consistent,0.0,true,,,,
H1,vol,vol_abn,15,all,3754,0.39871524442540673,0.5833650752406778,26.127051347153415,-0.020919186830170813,0.0523119449179118,consistent,0.0,true,,,,
H1,vol,vol_abn,30,all,3764,0.42031534196264847,0.5818129307639531,27.756691373378626,-0.018057688830017814,0.042962240554194474,consistent,0.0,true,,,,
H1,vol,vol_abn,60,all,3769,0.40529952059207225,0.562200827924387,28.296517708430905,-0.006777204499854417,0.016721471789441295,consistent,0.0,true,,,,
H2,absret,absret_abn,5,all,3539,0.17909537336234083,0.05795759994598104,2.8708874833180547,0.15191373079584972,0.6783797600119396,consistent,0.004093211916999184,true,28.354623501420473,0.459734388245267,18.35462350142047,0.3907883582933032
H2,absret,absret_abn,15,all,3703,0.18434404645903826,0.07746992902004786,3.8841498126543206,0.12863548825951365,0.6978011534975002,consistent,0.00010268857890882721,true,47.430516479364144,0.5022954361328652,37.43051647936414,0.44855522549284366
H2,absret,absret_abn,30,all,3722,0.20522093336038738,0.0619202062775124,3.178018593511108,0.16273512671372886,0.7929752781503561,consistent,0.0014828524107532992,true,61.0535933415466,0.516120365394949,51.05359334154661,0.4739387426114992
H2,absret,absret_abn,60,all,3741,0.17661312622729594,0.05742471417783056,2.850622914190334,0.16434232018996797,0.9305215512603757,consistent,0.004363368218424979,true,74.64327734397035,0.5260625501202887,64.64327734397035,0.4846297781341887
H2,rv,rv_abn,5,all,3253,0.201406800022461,0.21524103852369125,14.058263096292743,0.023104764081944063,0.11471690171020743,consistent,0.0,true,,,,
H2,rv,rv_abn,15,all,3750,0.18056252178461768,0.26932938124367567,25.044767065206614,-0.0015328630626925965,0.008489375577735107,consistent,0.0,true,,,,
H2,rv,rv_abn,30,all,3764,0.17075400661547205,0.2702945705770097,27.953480136612594,-0.006095872598111762,0.03569973389754366,consistent,0.0,true,,,,
H2,rv,rv_abn,60,all,3769,0.1668701105992108,0.2684876107729904,29.530471357692473,-0.012392879477649554,0.07426662230370791,consistent,0.0,true,,,,
H2,range,range_abn,5,all,3616,0.2941011635448853,0.3644097989216873,24.73579996681709,-0.014649089574399254,0.040945849052356174,consistent,0.0,true,,,,
H2,range,range_abn,15,all,3754,0.29572797589782185,0.3838025722102799,28.947918558192786,0.00982968610340712,0.0332113418282882,consistent,0.0,true,,,,
H2,range,range_abn,30,all,3764,0.2801311859916143,0.36755519443147283,29.70940756859733,0.01111312859817054,0.03967115820693813,consistent,0.0,true,,,,
H2,range,range_abn,60,all,3769,0.2853379759255431,0.35294728828033334,29.385348072641293,0.0025840098220376306,0.00905596184193831,consistent,0.0,true,,,,
H3,ret,ret_drift,5,all,3621,NaN,0.00023038106097994718,0.9327098879325323,NaN,NaN,n/a,0.35096977819236264,false,,,,
H3,ret,ret_drift,15,all,3754,NaN,-0.0004514608596584524,-1.2703838481766794,NaN,NaN,n/a,0.2039479338067851,false,,,,
H3,ret,ret_drift,30,all,3764,NaN,-0.00022191696639499073,-0.49564187682085153,NaN,NaN,n/a,0.620147101704396,false,,,,
H3,ret,ret_drift,60,all,3769,NaN,-0.00048435288856850037,-0.8639614950023781,NaN,NaN,n/a,0.3876090432058956,false,,,,
H1,vol,vol_abn,5,rth,410,-0.006996087565835326,-0.03293812209861311,-0.6643171288105398,0.045967525393390114,0.3912225236852112,FLIP,0.5064873603278044,false,,,,
H1,vol,vol_abn,15,rth,420,0.03687992757458339,0.10928812263796771,2.472782956719558,-0.03614623068560954,0.9801057936599775,consistent,0.013406553640205043,true,,,,
H1,vol,vol_abn,30,rth,420,0.09299361285773568,0.13861179610626115,3.18086649423943,-0.05841124550639923,0.6281210473643867,consistent,0.0014683528015728697,true,,,,
H1,vol,vol_abn,60,rth,420,0.058872662687207505,0.14394998588387542,3.521576736513608,-0.04327905741486213,0.735129947235532,consistent,0.00042898848841343984,true,,,,
H2,absret,absret_abn,5,rth,386,-0.12041671361441332,-0.23378774235214567,-4.473365421687659,0.11153511592167692,1.2892924431126076,consistent,7.699802573313264e-6,true,-7.609037395866218,0.22538860103626943,-17.60903739586622,0.13471502590673576
H2,absret,absret_abn,15,rth,406,-0.19027918478723183,-0.26152865113091384,-4.748196172730532,0.08270120452645,0.43463085370544136,consistent,2.0523891561818886e-6,true,-2.8325569310212244,0.30295566502463056,-12.832556931021228,0.20935960591133004
H2,absret,absret_abn,30,rth,404,-0.0968745737317431,-0.23978760350878717,-4.261784495444054,0.13630259323685467,1.4070007019002975,consistent,0.000020280096445501883,true,2.0797547972108203,0.33663366336633666,-7.92024520278918,0.26485148514851486
H2,absret,absret_abn,60,rth,411,-0.06509880622759659,-0.22788362659018568,-4.008235254979809,0.15405868916748794,2.3665363175612213,consistent,0.00006117416568152123,true,5.180321934524891,0.3771289537712895,-4.819678065475109,0.29683698296836986
H2,rv,rv_abn,5,rth,343,-0.13122886329583203,-0.12427851216010652,-3.2663275038143027,0.02064913077227265,0.15735205086492957,consistent,0.001089521632290813,true,,,,
H2,rv,rv_abn,15,rth,420,-0.00039210252566287273,0.006955371881369692,0.29015231847893047,0.02704837639115963,68.98291804020577,FLIP,0.7716997121011737,false,,,,
H2,rv,rv_abn,30,rth,420,-0.0021156261071538338,0.02522721982504842,1.3109465938684457,0.011718654049768728,5.539095027303247,FLIP,0.1898758075292939,false,,,,
H2,rv,rv_abn,60,rth,420,-0.00233144044298671,0.03958613062920467,2.1558918674692973,-0.011483893084842288,4.925664354578475,FLIP,0.03109210965144249,false,,,,
H2,range,range_abn,5,rth,409,-0.015334549445132406,-0.03003460014284429,-0.8981210341610515,0.006882861438906124,0.24549039022153976,consistent,0.36912102624639864,false,,,,
H2,range,range_abn,15,rth,420,-0.030812591933404597,0.039183696716743675,1.396617491429907,0.0011442561773671103,0.03713599231899078,consistent,0.16252862751184716,false,,,,
H2,range,range_abn,30,rth,420,-0.03463437222783006,0.034112987369835604,1.3098432771263002,-0.011095829155816334,0.32037044248489094,consistent,0.19024885936604097,false,,,,
H2,range,range_abn,60,rth,420,-0.020903520940774842,0.036792750623505684,1.4290018010676822,-0.043257200261144726,2.0693738812568334,consistent,0.15300371577441219,false,,,,
H3,ret,ret_drift,5,rth,410,NaN,-0.0003358963107081259,-1.928581580500629,NaN,NaN,n/a,0.05378282752985397,false,,,,
H3,ret,ret_drift,15,rth,420,NaN,-0.00036658198760839263,-1.0422399670455809,NaN,NaN,n/a,0.2973004374798758,false,,,,
