symbol_day,symbol,day,quoted_half_spread_bps,bid_depth_lots,ask_depth_lots,touch_notional_usd,fill_rate_ceiling,n_posts,n_fills,earn_half_spread_bps_mean,net_per_fill_bps_mean,net_per_fill_bps_median,realized_adverse_bps_mean
AAPL|2024-12-12,AAPL,2024-12-12,0.20181227422233466,3.0,3.0,110681.99999999999,0.8025160218371706,4213,3381,0.3009978441199986,-0.13617096278565086,-0.000016503752688402126,0.4371688069056494
AAPL|2025-01-10,AAPL,2025-01-10,0.6339412125182499,3.0,3.0,94452.0,0.844409519533004,4454,3761,0.6176402399820646,-0.1505416852738662,-0.00004022468795577454,0.7681819252559308
AAPL|2025-02-06,AAPL,2025-02-06,0.43140638481471594,2.0,3.0,69975.0,0.8099536472310319,4099,3320,0.4828429203591746,0.19454243448807548,0.21598972052640641,0.28830048587109913
AAPL|2025-03-05,AAPL,2025-03-05,0.860696303309206,2.0,2.0,47212.0,0.8341431095406361,4528,3777,0.9379540700307681,0.07507206043489026,0.4252966382533995,0.8628820095958779
AAPL|2025-03-31,AAPL,2025-03-31,0.6797018374606597,2.0,2.0,43944.0,0.8265193370165745,4525,3740,0.639972433961776,0.42592965435683877,0.4533913711566291,0.21404277960493728
AAPL|2025-04-25,AAPL,2025-04-25,0.7224563515947674,2.0,1.0,31308.750000000004,0.8073499201095641,4381,3537,0.828615758396573,0.2993157527260194,0.47846889952109595,0.5293000056705536
AAPL|2025-05-21,AAPL,2025-05-21,0.48576702613451445,2.0,2.0,41040.0,0.8806855636123929,4551,4008,0.45622456356437,-0.4610035399030426,-0.49403760838391675,0.9172281034674126
AAPL|2025-06-17,AAPL,2025-06-17,0.5060728744941859,2.0,2.0,39537.0,0.8473040326234708,4414,3740,0.44576343399062063,-0.22274245247031002,-0.2532190664973205,0.6685058864609307
AAPL|2025-07-15,AAPL,2025-07-15,0.4745859237817435,2.0,2.0,42191.99999999999,0.8476491862567812,4424,3750,0.45690119746359426,-0.25342722178583105,-0.2372873281570089,0.7103284192494252
AAPL|2025-08-08,AAPL,2025-08-08,0.4516303856925804,2.0,2.0,56239.99999999999,0.840638345695662,4449,3740,0.5606305386620727,0.9311327131256869,0.6776127817468436,-0.3705021744636142
AAPL|2025-09-04,AAPL,2025-09-04,0.420380023540899,2.0,2.0,47765.0,0.8236144578313253,4150,3418,0.44142162003914254,0.2075399278116932,0.2095250105793917,0.23388169222744934
AAPL|2025-09-30,AAPL,2025-09-30,0.3941197335752617,3.0,2.0,63547.5,0.8194377120698012,4126,3381,0.4762707508587877,0.03928111043747591,0.1962323384858402,0.4369896404213118
AAPL|2025-10-24,AAPL,2025-10-24,0.568752725272958,3.0,2.0,65908.125,0.8224823213850281,4101,3373,0.5500291212270952,0.481023681460126,0.3826835675759229,0.06900543976696927
AAPL|2025-11-19,AAPL,2025-11-19,0.5560601286347374,200.0,200.0,6748375.0,0.8472830850131463,4564,3867,0.624420561189484,0.28391759609710526,0.1852057630970219,0.3405029650923787
AAPL|2025-12-16,AAPL,2025-12-16,0.5503072548834764,200.0,200.0,5477700.0,0.8098216353949502,4317,3496,0.649856440257074,0.37359446664212453,0.3641378807725022,0.2762619736149495
AAPL|2026-01-13,AAPL,2026-01-13,0.386025863732519,200.0,200.0,5218700.0,0.8213276836158192,4248,3489,0.505105360076756,-0.06234510226974108,0.19136191901925964,0.5674504623464971
AAPL|2026-02-09,AAPL,2026-02-09,0.5488976305924355,200.0,200.0,5465200.0,0.8426913053778725,4221,3557,0.5914870993383148,0.23662961590871276,0.18379650001769962,0.354857483429602
AAPL|2026-03-06,AAPL,2026-03-06,0.5845332501991839,200.0,200.0,5124100.000000001,0.844078947368421,4560,3849,0.6490771159358398,0.39557237612006474,0.19501920939194775,0.2535047398157751
AAPL|2026-04-01,AAPL,2026-04-01,0.5876246253893237,200.0,100.0,3828750.0,0.830588766072637,4433,3682,0.5142677022603146,0.14923999429241985,0.19726978554515356,0.36502770796789474
AAPL|2026-04-28,AAPL,2026-04-28,0.5527203051011057,200.0,200.0,5408299.999999999,0.8218678815489749,4390,3608,0.47933997045065885,0.22525112460696362,0.1846858440756155,0.25408884584369523
AAPL|2026-05-22,AAPL,2026-05-22,0.3217710277372845,120.0,120.0,4325790.0,0.8461196353124305,4497,3805,0.28382557525087493,-0.08427260558441832,-0.16175209864869727,0.3680981808352932
AMD|2024-12-12,AMD,2024-12-12,1.1505273250229229,3.0,3.0,52228.0,0.7801331032782844,4057,3165,1.1188105903276038,-0.3350619180713101,-0.38195632044744837,1.453872508398914
AMD|2025-01-10,AMD,2025-01-10,0.8667764583512187,3.0,3.0,40586.0,0.8454160160606736,4483,3790,0.9711698362763583,-0.5652616831000704,-0.00007595082572894429,1.5364315193764289
AMD|2025-02-06,AMD,2025-02-06,0.45547711227534116,3.0,3.0,44020.00000000001,0.8401384083044983,4335,3642,0.6623567308372748,-0.9950218151922906,-0.45511433735304085,1.6573785460295654
AMD|2025-03-05,AMD,2025-03-05,1.4868414531397698,2.0,2.0,29773.5,0.8136890443909905,4573,3721,1.457904811967824,0.5963283768012179,0.9967108541817119,0.8615764351666061
AMD|2025-03-31,AMD,2025-03-31,0.9865824782956901,2.0,2.0,20323.0,0.8291974066621954,4473,3709,1.0441166160309125,0.45628792915976824,0.9778755659178495,0.5878286868711443
AMD|2025-04-25,AMD,2025-04-25,1.0400416016638596,2.0,2.0,23693.75,0.8411446597566471,4438,3733,0.9233016910496575,0.9537498760854457,1.0394740268438003,-0.030448185035788167
AMD|2025-05-21,AMD,2025-05-21,0.8646779074792919,2.0,2.0,28122.500000000004,0.8758404303003138,4462,3908,0.7162866728478829,-0.695812420628647,-0.00007836332182498574,1.41209909347653
AMD|2025-09-30,AMD,2025-09-30,0.9364172675344488,2.0,2.0,31962.0,0.7890743550834598,3954,3120,1.0991032225487372,0.6152173401660171,0.6247367310767943,0.48388588238272
AMD|2025-10-24,AMD,2025-10-24,1.1973657952504944,2.0,2.0,50094.0,0.8084643288996373,4135,3343,1.3224395810377352,0.6118580278208992,0.19870416514956868,0.710581553216836
AMD|2025-11-19,AMD,2025-11-19,2.497105627568356,100.0,100.0,3407850.0,0.7910588235294118,4250,3362,2.572007522045144,-0.25259582395049973,-0.000581211783023288,2.824603345995644
AMD|2025-12-16,AMD,2025-12-16,2.1583251396916814,100.0,200.0,3133424.9999999995,0.769501625135428,3692,2841,2.1582747830172218,1.1975336621338835,1.196951083928312,0.9607411208833383
AMD|2026-01-13,AMD,2026-01-13,1.35605478461335,100.0,100.0,3325650.0,0.8032042085126734,4182,3359,1.4201171957769263,0.3551150924553648,0.68453547917959,1.0650021033215615
AMD|2026-02-09,AMD,2026-02-09,1.622511183737644,100.0,100.0,3243150.0,0.7825413223140496,3872,3030,1.7836584623802563,2.3109199785620813,1.3822632068909428,-0.527261516181825
AMD|2026-03-06,AMD,2026-03-06,1.7866714311236422,300.0,300.0,4899312.5,0.7786019330186559,4449,3464,2.0081255918180543,0.14488524468632438,-0.25350733044743323,1.8632403471317298
AMD|2026-04-01,AMD,2026-04-01,0.7161613754379893,300.0,400.0,7402325.0,0.8556928508384819,4532,3878,0.9290991979120704,0.24270909933568877,-0.00028563718250132985,0.6863900985763817
AMD|2026-04-28,AMD,2026-04-28,2.511064377413368,100.0,100.0,4860675.0,0.7729714447271699,3537,2734,2.649753153796044,1.6723560964095803,1.545074247741479,0.9773970573864637
AMD|2026-05-22,AMD,2026-05-22,2.6626620229840987,200.0,200.0,9355600.0,0.7307580598315423,3443,2516,2.815238080802769,0.7303862399654321,1.0686973638189585,2.0848518408373367
AMD|2026-06-18,AMD,2026-06-18,2.8188335669185514,200.0,200.0,8008049.999999999,0.7240394600207685,3852,2789,3.009310288293449,2.2939490542588756,2.704680143233132,0.7153612340345732
AMZN|2024-12-12,AMZN,2024-12-12,0.6546930580712991,3.0,2.0,102901.5,0.7980295566502463,3857,3078,0.6906440977939295,-0.26163976574594827,-0.00004303775452392609,0.9522838635398778
AMZN|2025-01-10,AMZN,2025-01-10,0.6855105911386591,2.0,2.0,43600.5,0.8442028985507246,4416,3728,0.7207450590118554,-0.1711064794342306,0.23000666362020708,0.891851538446086
AMZN|2025-02-06,AMZN,2025-02-06,0.42181634116527256,2.0,2.0,47684.0,0.8296741391264155,4327,3590,0.5509622532901617,0.05453101409307584,0.21058838319852782,0.49643123919708587
AMZN|2025-03-05,AMZN,2025-03-05,0.9631127805070901,2.0,2.0,72068.5,0.8432656625191006,4581,3863,0.9663240501221497,0.6598929292975633,1.1955773210343306,0.30643112082458646
AMZN|2025-03-31,AMZN,2025-03-31,0.7984881956828707,2.0,2.0,37348.0,0.8322995126273814,4514,3757,0.8468797679611061,0.5517583266219883,0.5311520688368251,0.2951214413391178
AMZN|2025-04-25,AMZN,2025-04-25,0.7992114447079185,2.0,2.0,37423.0,0.8080035971223022,4448,3594,0.8417095024832781,0.289192633475013,0.7920304232900455,0.5525168690082651
AMZN|2025-05-21,AMZN,2025-05-21,0.7384251852216785,2.0,2.0,40300.0,0.8558558558558559,4551,3895,0.6429094586854297,0.2832966471169664,0.49171460884058144,0.3596128115684633
AMZN|2025-06-17,AMZN,2025-06-17,0.46511627906934444,2.0,2.0,43349.0,0.8469662921348314,4450,3769,0.5736459450734667,0.053582118287954714,-0.000021304070693773194,0.520063826785512
AMZN|2025-07-15,AMZN,2025-07-15,0.44111160123533816,2.0,2.0,45368.0,0.8531200720883082,4439,3787,0.41030362716767455,0.14769689422269874,0.4408199250614646,0.26260673294497583
AMZN|2025-08-08,AMZN,2025-08-08,0.6723894479682887,2.0,2.0,55595.0,0.816751269035533,3940,3218,0.5883910478938827,0.21129115673944554,0.44927161844495567,0.3770998911544372
AMZN|2025-09-04,AMZN,2025-09-04,0.4269125683062293,2.0,2.0,47093.0,0.8578209764918626,4424,3795,0.4464093679167825,0.16903652037664976,0.21331513044200828,0.2773728475401327
AMZN|2025-09-30,AMZN,2025-09-30,0.4563292872138869,3.0,3.0,65630.25,0.8339848240974936,4349,3627,0.4459957950526748,-0.015445267590150292,0.4552645656792577,0.4614410626428251
AMZN|2025-10-24,AMZN,2025-10-24,0.4470872267181613,2.0,2.0,44958.00000000001,0.8144884973078805,4086,3328,0.5629756893710103,0.1689929898707439,0.22281639884417864,0.3939826995002664
AMZN|2025-11-19,AMZN,2025-11-19,0.9010632546402967,200.0,200.0,3342600.0,0.8448961555457357,4526,3824,0.8261204342480017,0.23769469661176723,0.45262692284032796,0.5884257376362345
AMZN|2025-12-16,AMZN,2025-12-16,0.6731740154830279,200.0,200.0,4452200.0,0.8388550822627902,4437,3722,0.6484126612835812,0.25442542420651976,0.2245273689824579,0.39398723707706146
AMZN|2026-01-13,AMZN,2026-01-13,0.6147415011987692,200.0,200.0,4815450.0,0.8451717734447539,4308,3641,0.6117817812753207,-0.44421719094104756,-0.2069365097516274,1.0559989722163683
AMZN|2026-02-09,AMZN,2026-02-09,0.4760317989244117,200.0,200.0,5222875.0,0.8556537502832541,4413,3776,0.479862507161676,0.2564523382117154,0.2378234751228383,0.22341016894996057
AMZN|2026-03-06,AMZN,2026-03-06,0.6976906439684908,200.0,200.0,5370000.0,0.8707141297226468,4579,3987,0.7206863175406831,-0.23336399449286657,-0.46525151811129345,0.9540503120335497
AMZN|2026-04-01,AMZN,2026-04-01,0.472790884591987,200.0,200.0,4259600.0,0.8672353455818023,4572,3965,0.5063896635053761,0.028352470968717174,-0.000022003243885378946,0.4780371925366589
AMZN|2026-04-28,AMZN,2026-04-28,0.3857131836762673,200.0,200.0,5195100.0,0.8607707730006683,4489,3864,0.441843464814994,0.3340750851816779,0.3846819609115019,0.10776837963331609
AMZN|2026-05-22,AMZN,2026-05-22,0.5611357387346897,200.0,200.0,5352100.0,0.8213533130414423,4271,3508,0.6740733202584944,-0.07941807246690175,-0.00005571249207439845,0.7534913927253961
AMZN|2026-06-18,AMZN,2026-06-18,0.8221655841484841,200.0,200.0,3683775.0,0.7903625309614951,4441,3510,0.8451902123231538,0.6682950324445168,0.41168781656031206,0.176895179878637
AVGO|2024-12-12,AVGO,2024-12-12,1.3945056477481903,2.0,2.0,44495.0,0.7371777836832315,3763,2774,1.5232757483648254,0.05976762178161888,0.2777917692039369,1.4635081265832064
AVGO|2025-01-10,AVGO,2025-01-10,2.698812522490207,2.0,2.0,44846.0,0.7036924015868172,3277,2306,2.9572001900835554,0.3227966213652642,0.8943888412894843,2.634403568718291
